"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-2.cmonta9solr.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node2_dstat_traffic_gen.csv",,,,"Date:","11 May 2019 15:58:41 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.536,0.041,99.391,0.032,0,13532.694,525474.054,0,0,0,0,1050.594,1180.807
0,0.025,99.975,0,0,0,0,8044,304,0,0,235,175
0,0,100,0,0,0,0,7492,304,0,0,297,271
0.050,0.050,99.875,0.025,0,0,61440,11853,3889,0,0,409,398
0.425,0.150,99.400,0.025,0,0,4096,7806,2241,0,0,1293,744
0,0,100,0,0,0,0,7276,390,0,0,203,146
0,0,100,0,0,0,0,7528,390,0,0,286,268
0,0,100,0,0,0,0,8032,358,0,0,229,173
0,0,100,0,0,0,0,8092,304,0,0,252,168
0.175,0.050,99.725,0.050,0,0,40960,42901,62426,0,0,592,583
1.856,0.351,97.793,0,0,0,32768,831556,1714265,0,0,5868,7894
3.213,0.502,96.285,0,0,0,0,1797446,3109369,0,0,9679,14202
3.456,0.451,96.093,0,0,0,0,1702231,3174379,0,0,9530,14196
4.911,0.576,94.513,0,0,0,0,2434509,4359594,0,0,12278,20700
6.064,0.881,93.030,0.025,0,0,1753088,3334448,6119603,0,0,15472,26997
8.501,1.053,90.371,0.075,0,0,2101248,3847295,7128909,0,0,17615,31840
11.274,1.614,87.112,0,0,0,0,5170254,9855859,0,0,23092,45359
18.342,2.066,79.592,0,0,0,0,9252001,17061383,0,0,35506,81370
2.655,0.250,97.095,0,0,0,0,1147520,2718046,0,0,6708,12411
12.676,1.660,85.639,0.025,0,0,659456,6175091,11234236,0,0,25125,53337
4.484,0.576,94.815,0.125,0,0,9998336,1149137,2926330,0,0,8298,14356
14.293,1.487,84.220,0,0,0,0,6164217,10726127,0,0,25328,51875
5.832,0.553,93.565,0.050,0,0,0,2196070,4755285,0,0,11569,20407
15.323,1.382,83.296,0,0,0,0,7197550,11657312,0,0,27573,50399
7.375,0.550,92.075,0,0,0,0,1199345,5441493,0,0,10497,20708
20.005,1.912,77.906,0.176,0,0,6389760,9531235,17077872,0,0,33136,77769
5.792,0.451,93.756,0,0,0,0,1721311,4558523,0,0,10377,18111
12.212,1.179,86.610,0,0,0,0,5669852,9517002,0,0,21299,40111
6.714,0.503,92.784,0,0,0,0,1784166,6110728,0,0,11669,23448
16.528,1.562,81.910,0,0,0,0,8206163,12327831,0,0,27124,57455
7.264,0.580,92.055,0.101,0,0,8892416,1715510,7926679,0,0,13244,27405
12.038,1.037,86.925,0,0,0,0,5696159,10312916,0,0,20988,41748
9.924,0.806,89.270,0,0,0,0,2561325,9086487,0,0,15738,30254
13.825,1.209,84.966,0,0,0,0,6322903,12649400,0,0,23102,49387
6.476,0.477,93.047,0,0,0,0,2001963,5136284,0,0,11092,19085
10.399,0.929,88.395,0.276,0,0,6787072,4464002,8255030,0,0,18084,34624
9.052,0.600,90.348,0,0,0,0,3154594,8660986,0,0,16679,29893
18.669,1.977,79.354,0,0,0,0,8115614,13948720,0,0,28695,58472
12.745,0.828,86.427,0,0,0,0,3526169,10477296,0,0,19770,39761
19.307,1.757,78.935,0,0,0,0,8929724,15249090,0,0,30630,65000
12.390,0.926,86.508,0.175,0,0,9551872,3412871,11094424,0,0,19306,37422
14.491,1.333,84.176,0,0,0,49152,6856457,11378525,0,0,23828,49393
11.125,1.032,87.843,0,0,0,0,3709897,10659150,0,0,19083,38081
9.301,0.880,89.819,0,0,0,0,4337362,8605922,0,0,16504,33565
11.579,0.984,87.437,0,0,0,0,4927367,10415783,0,0,25670,34805
6.883,0.678,92.313,0.126,0,0,6647808,3167979,6611534,0,0,14351,23385
24.285,2.228,73.487,0,0,0,0,11195917,18185068,0,0,44902,83381
12.768,1.110,86.122,0,0,0,0,4397340,11051875,0,0,20759,43736
11.849,1.057,87.094,0,0,0,0,5692323,9640810,0,0,22115,42154
12.760,1.379,85.861,0,0,0,0,5931392,11016687,0,0,23259,46533
3.591,0.326,95.907,0.176,0,0,9281536,1717509,2730490,0,0,7079,11268
20.167,2.227,77.606,0,0,0,0,10820567,17284572,0,0,38047,80540
23.144,2.457,74.398,0,0,0,0,11780973,18573919,0,0,37627,92494
16.355,1.666,81.979,0,0,0,0,7858057,12487754,0,0,26777,61666
13.885,1.161,84.953,0,0,0,0,6671770,10420013,0,0,22140,51541
