"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-3.cmonta9solr.uic-cs-edu-pg0.wisc.cloudlab.us",,,,"User:","claudio"
"Cmdline:","dstat --output node3_dstat_traffic_gen.csv",,,,"Date:","11 May 2019 15:58:42 CDT"
"total cpu usage",,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","stl","read","writ","recv","send","in","out","int","csw"
0.493,0.142,99.348,0.017,0,13533.086,104274.180,0,0,0,0,862.504,6651.907
0.475,0.200,99.325,0,0,0,0,31660,7898,0,0,1296,896
0,0,100,0,0,0,0,7380,0,0,0,225,120
0.075,0.050,99.825,0.050,0,0,102400,9317,3507,0,0,366,161
5.076,7.652,87.272,0,0,0,0,18134,16530,0,0,4948,116342
12.078,13.678,74.244,0,0,0,0,17775,9554,0,0,8283,429573
16.375,14.722,68.903,0,0,0,0,18986,20054,0,0,9962,370446
16.950,8.062,74.987,0,0,0,0,15385,17641,0,0,8506,395728
23.630,14.468,61.902,0,0,0,0,17876,8921,0,0,12465,225365
27.081,13.164,59.679,0.075,0,0,86016,2072289,84739,0,0,18198,416761
29.514,9.579,60.908,0,0,0,0,3092572,111982,0,0,26860,431602
34.622,13.959,51.419,0,0,0,0,4045624,141935,0,0,34835,943546
38.456,13.732,47.812,0,0,0,0,5795721,202710,0,0,43118,787640
41.021,9.054,49.925,0,0,0,0,6871135,225413,0,0,53682,545839
45.889,14.182,39.904,0.025,0,0,102400,9406044,317349,0,0,62668,1383828
47.884,9.370,42.746,0,0,0,0,11280816,375887,0,0,67428,637063
45.718,5.189,49.093,0,0,0,0,23997211,807782,0,0,67114,169952
38.864,3.695,57.441,0,0,0,0,14500330,517136,0,0,47305,114229
35.053,3.598,61.349,0,0,0,0,6154017,229902,0,0,31615,77073
30.005,3.362,66.633,0,0,0,151552,11469127,429303,0,0,37112,86006
25.905,2.714,71.382,0,0,0,0,4972421,207756,0,0,23506,52923
21.554,2.364,76.081,0,0,0,0,12368447,439839,0,0,28813,62103
16.183,1.776,82.041,0,0,0,0,6211777,216874,0,0,16703,34505
14.743,1.677,83.579,0,0,0,0,13001072,435016,0,0,24285,48261
7.477,0.850,91.623,0.050,0,0,159744,7787487,264767,0,0,10714,20469
6.228,0.850,92.921,0,0,0,0,14236645,456169,0,0,15258,28149
1.777,0.300,97.922,0,0,0,0,5524006,179815,0,0,5062,6763
3.964,0.426,95.610,0,0,0,0,11906191,360380,0,0,11729,19387
2.555,0.526,96.919,0,0,0,0,8304897,266487,0,0,7879,12279
4.300,0.550,94.675,0.475,0,0,2588672,11685296,369369,0,0,12520,18903
1.226,0.150,98.624,0,0,0,0,4024784,124611,0,0,3395,4128
5.092,0.652,94.256,0,0,0,0,14760679,466029,0,0,14473,24933
1.450,0.300,98.250,0,0,0,0,5102888,158191,0,0,4093,5160
4.861,0.576,94.563,0,0,0,0,14555037,455908,0,0,14050,23623
0.802,0.201,98.972,0.025,0,0,20480,2976504,97780,0,0,2648,2712
5.773,0.527,93.700,0,0,0,0,16768982,527244,0,0,16441,25948
2.327,0.400,97.272,0,0,0,0,6730760,213750,0,0,6590,10501
6.155,0.976,92.870,0,0,0,0,17604414,550947,0,0,17868,28277
2.201,0.325,97.474,0,0,0,0,6255439,189436,0,0,6197,8222
7.787,1.202,91.012,0,0,0,4096,18860178,568249,0,0,18912,31650
2.102,0.400,97.447,0.050,0,0,32768,4959840,154100,0,0,5496,7538
7.418,1.024,91.558,0,0,0,0,16137685,479724,0,0,17029,28809
0.850,0.225,98.925,0,0,0,0,2305018,75677,0,0,2363,2727
7.642,1.503,90.854,0,0,0,0,16340541,473232,0,0,16632,28107
1.301,0.075,98.624,0,0,0,0,2998026,90240,0,0,3009,3646
8.179,1.451,90.345,0.025,0,0,40960,19495894,586286,0,0,19284,35805
9.310,1.481,89.210,0,0,0,0,21588020,641470,0,0,22018,44013
1.699,0.375,97.927,0,0,0,0,3426991,108558,0,0,3847,6618
9.992,2.254,87.754,0,0,0,0,17519178,485512,0,0,19396,36513
0.200,0.025,99.775,0,0,0,0,249726,6946,0,0,449,173
6.286,1.528,92.136,0.050,0,0,53248,10400158,263007,0,0,11927,21137
5.710,1.277,93.013,0,0,0,0,13545396,415613,0,0,21993,40481
5.370,1.179,93.450,0,0,0,0,11680917,345612,0,0,21163,37318
3.265,0.628,96.107,0,0,0,0,7584871,238455,0,0,15669,27420
2.581,0.827,96.591,0,0,0,0,6238449,192231,0,0,13261,22827
1.150,0.275,98.525,0.050,0,0,49152,52747,2404,0,0,996,1049
0.600,0.375,99.025,0,0,0,0,251894,20182,0,0,1814,1042
0.300,0.250,99.449,0,0,0,0,124410,16890,0,0,1626,786
0.374,0.374,99.251,0,0,0,0,144326,11664,0,0,1512,656
0.575,0.325,99.100,0,0,0,0,126045,38584,0,0,3529,1358
0.050,0.075,99.825,0.050,0,0,53248,26884,5376,0,0,456,306
0.050,0.050,99.900,0,0,0,0,34870,372,0,0,244,101
0.551,0.351,99.098,0,0,0,0,71518,58328,0,0,5803,1875
0.150,0.100,99.750,0,0,0,0,24902,14736,0,0,1446,586
0.100,0.050,99.850,0,0,0,0,20199,10740,0,0,1388,436
0.125,0.075,99.750,0.050,0,0,49152,18435,12764,0,0,1218,465
0.050,0.025,99.925,0,0,0,0,5160,114,0,0,351,207
0.050,0.050,99.900,0,0,0,0,14498,1934,0,0,214,120
0,0.075,99.925,0,0,0,0,6984,1410,0,0,157,99
0,0,100,0,0,0,0,6540,0,0,0,174,33
0,0.050,99.950,0,0,0,4096,6426,310,0,0,178,143
0.275,0.300,99.401,0.025,0,0,32768,34083,24602,0,0,2475,752
0,0.025,99.975,0,0,0,0,6540,0,0,0,124,21
0.375,0.499,99.126,0,0,0,0,40313,27630,0,0,3253,1307
0.726,0.325,98.949,0,0,0,0,15657,228680,0,0,1887,1332
